Reference,Quantity,Value,Footprint,Datasheet, MFG Part#, Description
"C200 ","1","C_0805","ScopefunPackagesLibrary:C_0805","","","Not populated"
"C189 C190 C191 C193 C194 C195 C197 C198 C199 C201 C202 C203 C204 C207 C214 C215 C216 C217 C219 C220 C221 C222 C223 ","23","C_u47","ScopefunPackagesLibrary:C_0603","","EMK107B7474KA-T","MLCC - SMD/SMT 0603 16V X7R 10%"
"C180 C205 C206 C218 ","4","C_47u","ScopefunPackagesLibrary:C_1210","","LMK325BJ476MM-T","MLCC - SMD/SMT 1210 10V X5R 20%"
"C3 C5 ","2","C_15p","ScopefunPackagesLibrary:C_0603","","885012006074","MLCC - SMD/SMT 0603 100V C0G 5%"
"C237 C29 C30 C31 C32 C60 C61 C62 C64 C65 C66 C67 C68 ","13","C_10n","ScopefunPackagesLibrary:C_0402","","885012205012","MLCC - SMD/SMT 0402 10V X7R 10%"
"C33 C34 ","2","C_2p","ScopefunPackagesLibrary:C_0603","","C1608C0G2A020C080AA","MLCC - SMD/SMT 0603 100V C0G 0.25P"
"C100 C101 C102 C107 C120 C122 C123 C148 C152 C156 C177 C244 C245 C38 C39 ","15","C_22u","ScopefunPackagesLibrary:C_0805","","LMK212BBJ226MG-T","MLCC - SMD/SMT 0805 10V X5R 20%"
"C4 C6 ","2","C_360p","ScopefunPackagesLibrary:C_0603","","C0603C361G5GACTU","MLCC - SMD/SMT 0603 50V C0G 2%"
"C127 C132 C138 C139 C240 C241 C242 C243 C70 ","9","C_10u","ScopefunPackagesLibrary:C_0603","http://psearch.en.murata.com/capacitor/product/GRM188R60J106KE47%23.pdf","GRM188R60J106KE47D","MLCC - SMD/SMT 0603 6.3V X5R 10%"
"C106 C108 C109 C110 C111 C128 C129 C137 C141 C144 C147 C151 C157 C165 C167 C172 C174 C176 C253 C254 C74 C75 C76 C77 C78 C79 C82 C83 C84 C85 C88 C89 ","32","C_10n","ScopefunPackagesLibrary:C_0603","","GCM188R72A103KA37J","MLCC - SMD/SMT 0603 100V X7R 10%"
"C10 C103 C104 C105 C115 C125 C126 C140 C142 C145 C146 C149 C15 C150 C153 C154 C155 C158 C159 C16 C161 C162 C163 C166 C168 C17 C170 C173 C175 C18 C19 C20 C21 C22 C23 C230 C231 C234 C235 C236 C238 C239 C24 C246 C247 C248 C249 C25 C251 C252 C255 C256 C26 C27 C28 C35 C36 C37 C40 C41 C42 C43 C44 C45 C46 C47 C49 C50 C51 C54 C55 C56 C57 C58 C59 C63 C69 C7 C8 C80 C81 C86 C87 C9 C90 C91 C92 C93 C94 C95 C96 C97 C98 C99 ","94","C_0.1u","ScopefunPackagesLibrary:C_0603","","C0603C104K4RACTU","MLCC - SMD/SMT 0603 16V X7R 10%"
"AWG1 AWG2 CH1 CH2 ","4","BNC","ScopefunPackagesLibrary:BNC-5-1634556-0","http://www.te.com/usa-en/product-5-1634556-0.html","5-1634556-0","BNC LP ELBOW B/HEAD PCB SKT 50 OHMS"
"CV1 CV2 CV3 CV4 ","4","CV_2.0-6.0_pF","ScopefunPackagesLibrary:SGC3","http://media.wix.com/ugd/d86717_38d9821e12823a7aa9cef38c6c2a73cc.pdf","SGC3S060","CAP TRIMMER 2.0-6.0 PF 500V SMD"
"D12 D13 D14 D15 ","4","RB851YT2R","ScopefunPackagesLibrary:SOT-543","http://www.rohm.com/web/eu/datasheet/RB851Y","RB851YT2R","Detection Schottky Diode, Vr=3V, Vf=0.46V"
"D16 ","1","82400102","ScopefunPackagesLibrary:SOT23-6","http://katalog.we-online.de/pbs/datasheet/82400102.pdf","82400102","TVS Diode Array WE-TVS SOT23-6L"
"D17 ","1","SP3010-04UTG","ScopefunPackagesLibrary:uDFN-10","http://www.littelfuse.com/~/media/electronics/datasheets/tvs_diode_arrays/littelfuse_tvs_diode_array_sp3010_datasheet.pdf.pdf","SP3010-04UTG","SP3010 Series 0.45pF Diode Array"
"D41 ","1","ESDA8V2-1J","ScopefunPackagesLibrary:SOD323","http://www.st.com/content/ccc/resource/technical/document/datasheet/fc/e4/b8/75/43/a8/49/11/CD00233088.pdf/files/CD00233088.pdf/jcr:content/translations/en.CD00233088.pdf","ESDA8V2-1J","TVS DIODE 5VWM 20VC SOD323r"
"D42 D43 D44 D45 D46 D47 D50 D51 ","8","ESD7002","ScopefunPackagesLibrary:SOT323","http://www.onsemi.com/pub/Collateral/ESD7002-D.PDF","ESD7002WTT1G","TVS DIODE 5VWM SC70 (SOT323)"
"D10 D11 D5 D6 D9 ","5","1N4148W","ScopefunPackagesLibrary:SOD123","https://www.diodes.com/datasheets/ds30086.pdf","1N4148W-7-F","SURFACE MOUNT FAST SWITCHING DIODE 150mA"
"D52 ","1","MCP1501-12","ScopefunPackagesLibrary:SOT23-6","http://ww1.microchip.com/downloads/en/DeviceDoc/20005474D.pdf","MCP1501T-12E/CHY","1.25V High-Precision Buffered Voltage Reference SOT23-6"
"D53 ","1","MCP1501-18","ScopefunPackagesLibrary:SOT23-6","http://ww1.microchip.com/downloads/en/DeviceDoc/20005474D.pdf","MCP1501T-18E/CHY","1.8V High-Precision Buffered Voltage Reference SOT23-6"
"D54 D55 D56 ","3","LM431","ScopefunPackagesLibrary:SOT23","https://www.fairchildsemi.com/products/power-management/voltage-regulators/shunt-regulators/LM431SB.html","LM431SBCM32X","Adjustable Precision Zener Shunt Regulator"
"D57 ","1","TLV431A","ScopefunPackagesLibrary:SOT23","http://www.onsemi.com/pub_link/Collateral/TLV431A-D.PDF","TLV431ASN1T1G","Low Voltage Adjustable Precision Zener Shunt Regulator"
"D29 D30 D31 D32 D33 D34 D35 D36 D37 D38 D39 D40 D48 D49 D7 D8 ","16","BAV199","ScopefunPackagesLibrary:SOT23","","BAV199-7-F","Low-leakage double diode"
